,datapoint,label
108,Each one came from a super important time in Riley's life. Like when she first scored a goal. It was so amazing!,no
109,"Ellen. I've been trying to reach you all morning. Oh my gosh Fin, are you Ok?",no
110,Emma broke the news to Henry that she was planning to leave. No! No!,no
111,Everybody needs Some place to escape to. Exactly.,no
112,"Everybody okay with that? Yeah. You are definitely not in charge, though.",no
113,"Everybody wants him, he's a busy man. And you are a gifted young woman with a wonderful future. God forbid, in a town like this.",no
114,Everything's set. We move the machine to the launch site. Departure is 00 p.m.,no
115,"Excellent. Airman Bowles, I want you to employ any means necessary to stop her from interfering with this mission. Pardon me, sir?",no
116,"Faith! What is that damn thing? I don't know, man.",no
117,"Finding Theresa if that is his name. The woman who abducted you think. I find it, and disappears.",no
118,"First edition, signed. That wine stain? Left by Betty Friedan herself.",no
119,"First of all, I dismembered the corpse. I cut off the head and the arms and the legs. I then took up three planks from the flooring of the chamber and deposited all between the scanflings.",no
120,"First you must bring her to a place we like to call the sacrificial clearing. I love it. It's a clearing to the north of a domain, designed for executions.",no
121,"Five girls like that come in there, you've got to pay to play. That pussy ain't free. Don't you laugh at me.",yes
122,Fixer's I've been watching her for a long time now. We're like two trains on the same track headed for a collision course. I've been reluctant to deal with it.,no
123,"Ford, you're being awful quiet over there. Do we have enough to hold him any longer? No, sir.",no
124,"Fuck you, mate! Okay? This isn't some rugby field with kangaroos and broad-shouldered women.",no
125,Fuck! Drive! Shit.,no
126,"Garden! Garden, vagina, garden, okay? And if you think a woman doesn't have a libido then you, my friend, are the fucking dumbass.",no
127,Gatorade. I don't have... I'll see if I have gatorade.,no
128,"George. Please. She loves you, loves you.",no
129,"Get back out there then. All right, rundown drills! Man on second, place between second and third.",no
130,Get the fuck out. You'll see her in six months. Absence makes the dick grow harder.,no
131,Get to the point. That. That there.,no
132,Get up. Took my gun. And she took my razor.,no
133,"Girl, can you believe she did that? She didn't even know him. I know.",no
134,"Give it up for Paula Bel. PAULA Oh, my God, look at this. Only in Vegas, men with women.",no
135,"Give me a hint. Nope, nope, nope. Okay, two thousand?",no
136,Go ahead. The Atromitos' rotation system's creating reverse pull. Danger.,no
137,Go get her back. Come on. Isn't it time to start fighting for what you want?,no
138,Go! Jeez. I don't know if I approve that. And nobody tells Amanda.,no
139,"Go, go, go. Let's go. I need everyone at their one's!",no
140,"Good luck! Sorry, guys, can I ask her a few questions? You be all right?",no
141,"Good morning. I just have one question. At Malia's old school, her teacher used to stay late sometimes after school to help her a little bit with her reading...",no
142,"Got some ice. Thank you so much. You know, I'm not...",no
143,"Grampa! What's up, buddy? Here.",no
144,Great! Let's set up for the next shot. What if we added one more kid?,no
145,"Great, okay. So, he says it's a violation of the court order for them to not let us pick her up. Bu!",no
146,"Grow some courage. Always hiding behind your mask. Tough horny guy "" curry stick "" with a long schlong.",no
147,H' I know more than she can possibly imagine. I know where she's been going for the last few months. Let's see if she comes clean.,no
148,"Half that studio would be yours. Jesus, Dad, I'm not gonna marry Amanda just to live off of her. Just giving you the benefit of my wisdom.",no
149,"Have a little girl, nine years old. Why do you think I'm doing this? Where's her father at?",no
150,"Have a nice dinner. After you get what you want, you don't want it. If I gave you the moon, you'd grow tired of it soon.",no
151,"Have you talked, spoken to her mother or father? No, the mother, I know has been in contact with Ron Oh, this is bad, this is so bad. Brian's in a tough spot.",no
152,"He has a mask? Yeah. It's here, Se? or.",no
153,"He took control over the arms in Serbia. Yeah. And you control all the weapons, you have all the friends in the world.",no
154,"He was after her. She's coming with us. No, we can handle this.",no
155,He was full that night. So nobody knows what the hell happened. Did she in the bath?,no
156,"He was throwing things at Haley. And when I saw him hurting her, I... I told him to stop, twice, and he kept on doing it. And I'm sorry.",no
157,He's gone! What's wrong? What's wrong?,no
158,"He's gonna crush this team, right, Jonathan? But he's our closer. He's not closer, he's a starter.",no
159,Hello. Hey. I thought you weren't picking her up until later this evening.,no
160,Hello? Let me out please! Open the door Open the door.,no
161,"Her energy's down, but now that you're here. I'm coming to you. Hey.",no
162,"Here comes uncircumcised trying to get in the video.? No new skin, no new skin, no, no, no? Oh shit, Drake's on the album.?",no
163,"Hey! Oh, my God. Thank you so much for coming.",no
164,"Hey, do me a favor. What? Run in there and get me a paper.",no
165,"Hey, hey, hey. What the hell are you doin', man? What's your problem?",no
166,"Hey, it's like the glowy thing. That glowy thing is an explosive Chitauri energy core. Whoa, you mean we've been carrying around a bomb?",no
167,"Hey, look, this is Gambler 17. We are flying over hundreds of boys in the water. I repeat, we are flying over hundreds of boys in the water.",no
168,Hey. Hey. I'm gonna go to the store.,no
169,"Hey. I just saw Dad in town -You remember these? We scared the shit out of with these things, like did we blow up her dollhouse?",no
170,"Hey. It's me. Um -Look, I know we we have -I know we haven't talked, but I just want you to know I'm really -I'm thinking about you, and I-I'm-I'm -I know you didn't, you know -I know this isn't what we were planning, and I just want to talk to you.",no
171,"Hit her. She's smoking' up. You gonna bring this bitch here, and now you smoking this shit!",yes
172,"Hmm. Hmmm. Where's ? In our bedroom, she won't come out.",no
173,"How can I miss the cigarette lips I am buried in the ashes I am buried in this Who, who Oh, so Come around Silence can't stop her Your love won't fade And I can't go on No, I can't go on, not a day Oh, oh, oh Oh, oh oh? Been nursing that drink?",no
174,How is life in the big city? It's fine. You don't miss Black Falls?,no
175,How many times have you seen that happen? Happens to all of them. Pick up... the knife all it takes is a cut across Katherine's shoulder.,no
176,"How you doing? Mom, she's told me all about you. You know, recently.",no
177,Huh? Why did you abandon me? You were the only one that could've saved me Jennifer you abandoned me right?,no
178,"I can get you a couple hundred dollars for your time. What you looking for, professor Jack? That, bazemint, is precisely what I hope you can help me find out.",no
179,"I can't believe she still has this. "" Dear Jeff, every time you look at this little man, I want you to remember that you are a very special person... who has others that believe in you. Most importantly, always remember to believe in and love yourself.",no
180,I can't believe that. His early stuff is only on vinyl. His first two albums are only vinyl.,no
181,"I can't believe that. That was very smooth. Thank you, Vicky.",no
182,I can't... I can't film this. He just shot her. You've got to believe in something.,no
183,I could take the vegetable there upstairs and I could rape her. Doesn't matter. Because we're all going to be erased.,yes
184,I didn't draw that! It's Rupert's. I just feel the change has created a lot more stress for her than we originally thought.,no
185,"I didn't even know you were looking. I've been saving up for years. Pinching pennies, clipping coupons just waiting for the right time.",no
186,I didn't even tell my wife about what happened that night. My daughter Zhanna... I found this journal when I was cleaning out her apartment.,no
187,"I do have a potty-mouth and this potty-mouth is sick of your shit. My shit?' Cause you would never cause a scene at a friend's wedding, would you?",no
188,I do. But doesn't that just prove how much I love her? I mean she hate loves you too you know.,no
189,"I don't have a cat. Then whose kitty litter did I just shit in? Anyhoo, tell me something... what situation isn't improved by pizza?",no
190,"I don't know, man, she looks like a slut. Exactly. Fucking go over there and make some like witty joke or something.",yes
191,I don't think you should go introduce her to new neighbors just yet. Don't you hear her crying? Yeah.,no
192,I feel you? I want you to ravish me? Have you ever been to Marbella?,no
193,"I forgot Uncle Ramon was deaf and I talked to him like a normal. Uncle Ruben, can you please tell Meredith that Jason is really sorry, but that he can't marry her? He says he's very sorry, but he can't marry you.",no
194,I found an address in Marty's Texas travel book. And then there she was. She was the most beautiful woman I'd ever laid my eyes on.,no
195,"I gave her a place, but she refused. So she's crazy? Ugh!",no
196,I get it. You keep pretending that people are chasing after you so you keep your acting sharp. Wow.,no
197,"I got this last Thanksgiving fighting with my mother-in-law over who was gonna make the cranberry sauce. That woman has got lifeless eyes, black eyes, American girl doll Jess McConnell eyes. Oh!",no
198,I guess you can say that... Jesse is a little on the other side of the law. Jesse's done some bad things.,no
199,"I had a fantastic year with you all here. There have been many great moments, like the time when... Alright, everybody settle down for just a second.",no
200,"I hate you. That girl says she hate him. Oh, Lord, somebody gonna have to help me.",no
201,"I have a confirmed spectral kill. We're a go. I say again, all units go.",no
202,I have a huge test tomorrow. I'm not lying! Where are you going?,no
203,"I have the sixth sense for stupidity. He's around here somewhere. Man, is she always like this?",no
204,"I killed that last man she was with, Tom. He had it comin', too. You have been doggin' this girl your whole life.",yes
205,"I know everybody. Well, hello. Step right up.",no
206,"I know her well enough to know that she's a woman, and women like bad boys. Who are you to give me this advice? Are you bad?",yes
207,I know what this is costing you. That's what I go by. I've met a lot of crazy people in my life.,no
208,"I know, I know, I got it. No, I'm serious. Focus.",no
209,"I know. Makes me sad, too. I'm gonna miss her being right next door.",no
210,"I let her down. I think justice has a way of finding people. Yeah, well, I've given up on justice.",no
211,I like my coffee like I like my women. Don't you dare say it! In my office now!,yes
212,"I love big red. She never lets me down. Honey, no grown woman ever names her pick-up.",no
213,"I love you. I love you. Tory cecelia whitney, what are you up to?",no
214,"I mean, I knew she was a cheerleader, but I didn't know... She was the captain, dude. Yeah.",no
215,"I mean, don't you think I wish she was into that? I do, okay? But she's not.",no
216,"I mean, plenty of them get on, you know? Mhm. Um... But just there was something about her that you could just tell that she really truly believed this.",no
217,"I mean, you of all people should understand that. I do. And I know that Leslie is a reasonable woman, so I think that reason is probably the best approach.",no
218,"I mean... She's not perfect. But for whatever it's worth, she doesn't deserve Hell.",no
219,I need that ice now. Do you mind my asking what you need the ice for? Be... because I have to keep my sperm cold.,no
220,"I need to draw some blood, is that all right? Bye-bye. You're not going "" bye-bye "" just yet.",no
221,"I need to repair the mess you wrought. Force a correction, and then ride out the resulting shit storm back to the beginning in my own ice bath and make sure you never initiate, like I should've done in the first place. This does not end well for you.",no
222,I need you to take over for Becky up front. I have to bring her in back for some questions. The police?,no
223,"I never got you your drink. There is one thing, Florence. The other day, my assistant told me that... he thought he remembered Beverly from high school and that she's not yet 18.",no
224,"I only hung out with you because I felt bad for you. You should know that. Still no sign of her, huh?",no
225,I remember when the doctor first told me. It was like I... The results show that you have you have leukemia.,no
226,I said I'd give it to her. Who was that? Prince charming.,no
227,"I suck at this! I just don't wanna be weird, okay? Baby, please don't cry.",no
228,"I taught him a trick. Watch, he can shake. Come on, Bacon.",no
229,I taught myself how to keister. How to keister? Up the keister?,no
230,"I tell you what, she better not bring her ass down here because I will punch that bitch right in her face. See who's smiling then. Oh, shit, here she comes.",yes
231,"I think I'm gonna grant you a wish for Christmas. So what's your wish, Jeremy, for Christmas this year? I just want all the pain to stop, all the killing.",no
232,"I think it could be really empowering for her to sort through all those really confusing and scary emotions and turn them into something good. And, look, I know that a lot of people say that theater is a dead art form performed by the rich for the even richer, and... I guess I do agree with that to some extent, but... I still really believe in it.",no
233,I think it's better if we leave her for now. Did you tell the kids? They don't like it.,no
234,"I think she really likes you, honey. I really do. Oh.",no
235,"I think she took the scissors from the desk in my room, went to 's house, and... Well, then why weren't her fingerprints on the scissors? Because she's trying to frame me.",no
236,I think some people are just born with it. The Indian girl didn't ask why. She just accepted it and dealt with it in her own way.,no
237,I thought she'd never leave. Were you guys in there all night? Yeah.,no
238,I thought you weren't from around here? I never said that. Hey.,no
239,I told her that you could help. Okay? No.,no
240,"I told her to practice when I'm there, and that you'd be surprised at what a good swimmer she's become. I can't believe she did that. It's Avery good thing Eric and I were there to hear her crying for help.",no
241,"I told you a million times, she's an econ nerd, too... She posts comments on a website that I read and I emailed her... That I liked her ideas and we hit it off.",no
242,I wanted to let you know personally your wire came in. When shall we expect you to retrieve funds? In about two days.,no
243,I wanted to see how I go the new one. Came again the father of Emmy. I will try to convince her to see him.,no
244,I was discussing business with Eddie. Good. I heard she had sex with one girl in it?,yes
245,"I was really very unhappy at that time. What about me? Well, I don't really care about you.",no
246,"I was totally looking forward to it, and chose me. Oh. Oh -Let's take her to the emergency room.",no
247,"I was wrong. Now, about the other day in the park. The things that I said about you...",no
248,"I will do what I can'to help you. We will figure it out. And for Emma's sake, we don't have to tell her.",no
249,"I wonder if she actually even wanted to. Are you sure she had miscarriages? Because you know there are ways to fake that, right?",no
250,I would've never met... her wonderful... beautiful... roommate. You. And...,no
251,"I'd like to thank the Academy of Sexy Women for honoring me with this award. I'm deeply moved to be recognized by this extraordinary group of women. You know, sometimes when I'd be laying out a line of bullshit I didn't think anybody was paying much attention.",no
252,"I'll be down in five. 10-4. Okay, men. We're going to move out.",no
253,"I'll be right back. * But she's rollin' with the future * * Future of the show Couple of chicks on the sofa * * One whipping' her hair So, Kev, you're having a good time?",yes
254,I'll call her later. She'll be glad you left. Do you have a girlfriend?,no
255,"I'll check if she tweeted anything. It's Garcia, but school? Ben Wilder.",no
256,"I'll just go get one. What the fuck? Yeah, go get one then.",no
257,"I'll leave you to your manual labour. Tell mom I say hi. Ok, kiddo.",no
258,"I'll never see her again. Hey, that's crazy talk. It matters to me.",no
259,"I'm a badass. I used to light cigarettes like this for Emily. One for me, one for her.",no
260,"I'm all for the women empowerment thing, right, but don't let the after sex cuddle chemicals go to your head. You'd have to make me orgasm to release oxytocin, so don't worry, you're in the clear, buddy. Ouch, wow, you are ruthless.",yes
261,"I'm an ass guy. Love ass. Not so much for tits, but ass.",yes
262,I'm free. Thank you. Thank you.,no
263,I'm getting so queasy. I'm getting very queasy. Oh!,no
264,"I'm going for the principle. You have a date with principal Miller? No, stupid.",no
265,"I'm going to see her today. I just can't. Are you okay, honey?",no
266,"I'm going to see what she wants. Hey, Mom. Actually, we're busy.",no
267,"I'm gonna let you do additional chores for two weeks. Oh, no, hey, look, it's my fault she got in trouble. She's the one who made the decision.",no
268,I'm gonna taking this thing to space and I'm going to blow this nuk up. [Grunts/_Groans] Ok let's go.,no
269,I'm just gonna put my head down right here. So I've been thinking. I've been thinking a lot about what you said.,no
270,"I'm not asking him how many STDs he just passed on to Andie and her unborn child. Our unborn child, that's what I meant. What are you doing in there?",no
271,"I'm not bragging. This is not bragging. Listen, I'm not with her no more, okay?",no
272,"I'm not gonna be able to walk on stilts. I'll be back after I try these. I'm not gonna send this to Joel, but in all honesty, like what do you think about this idea?",no
273,"I'm not usually into political thrillers. Yeah, well' I think the parallels with Dante's Inferno are amazing, but...",no
274,"I'm proud of this man. Thanks, thanks. Hey, congratulations.",no
275,"I'm right here. Dude, it's her. Dude.",no
276,I'm so sorry. Maybe we should go. Think she's still asleep?,no
277,"I'm sorry, Mr. Church. She'll get used to it. She's just a child.",no
278,"I've been great. You finally got tits, bitch! Bitch, the estrogen has been kicking in, the only thing it hasn't broken down was these fucking arms.",yes
279,"I-I'm just asking, like... Do you love bein' a soldier? Marines, it's a bit different.",no
280,"I... I told you, I haven't seen him in quite a while. Yeah, I know, it's just... I know that he was beating himself up and wanted to come talk to you about that last night he spent with dede.",no
281,"If she comes... Oh my gosh! What do you have in here, Mili?",no
282,"If she gets up again, she can catch up with us, we can't move fast enough with your foot. I have to put her out of commission! Dorri, I don't care what No!",no
283,"If they want to cure him, they better hire some black nurses. Better hire some black nurses,' cause he says he only fucks black women the month of February and June 10th. But he married Becky.",yes
284,"If we find this one, the only one left was the one Chloe had on her. Any word on the EMT? No. Just an e-mail address?",no
285,If we lose. If we lose. We're gonna win!,no
286,"If we're nickel-size and the blender's empty, we go on our backs. Flat, like this. Enjoy that breeze.",no
287,Impress her by being the hero or let the opposition annihilate himself. Yeah. You probably made the right choice.,yes
288,"In the meantime, if she tries to call you -'s here. No, sweetie. She's in Canada.",no
289,Indah. Do not. Release him.,no
290,Is she all right? I don't know. I know her.,no
291,Is that you? It is you! Hi. Hi!,no
292,"Isabella says the people who say things about her only do so because they're jealous. I'm not jealous of Isabella. Isabella says that denying jealousy is, like, the surest sign of jealousy.",no
293,It couldn't possibly be worse than the episode we just had. Blunt her emotions. It'll keep her calm.,no
294,It does! It does sound so stupid! But love is kind of crazy.,no
295,"It killed almost everybody. A 3 headed shark? What have you been smoking, kid?",no
296,"It should. If you think that Superman is a murderer, then throw it away. But I don't believe you think that.",no
297,"It takes a very special man to follow behind a woman. In these changing times, men and women, they're just don't play the same role. But a woman is still not supposed to take care of the man.",yes
298,"It was hard for me to move here, too. And now it seems like you've been here forever. It took a while.",no
299,"It was not easy, alright. But when we did, we made the agreement didn't we, that you were going to love him to death, right? But I was going to teach him how to be a man.",no
300,"It was yesterday, Dad. You know what I mean. Uh, who wants presents?",no
301,"It's a dog. If we could get up there, the doors probably wouldn't open with the power out. Benji?",no
302,"It's a pleasure to finally meet you, sir. Cole, not cool. Sorry about that.",no
303,"It's a shitty fucking job. Yeah, I know, but you're going away to college, and maybe they need somebody. Oh, I thought you said you were gonna go back to school and finish.",no
304,It's all about what she wants. Such a bitch. And a complete user.,yes
305,It's because you're good. I wish I could handle clients the way you handled Bridget. I didn't exactly handle her.,no
306,"It's different than what we're used to. Skin cell variations, changes in the ozone. It's almost like...",no
307,It's good. Tina! Tina.,no
308,"It's her new car, our new boss. Looks brand-new. Did you see her?",no
309,"It's like a throbbing inbred hothouse of cultural miasma. Frankly, I'm surprised they don't have more fetishes. Shit, Ben-Ben.",no
310,"It's never gonna end, I mean, even if they live me alone, they're just gonna do it to somebody else. We can't stop the game if we wanted to. There's no one to stop.",no
311,It's not like she would even notice. All she does is shop. And then she goes to these lame meetings.,no
312,"It's not your fault. I should've seen it coming. Let me ask you this, when a woman says, "" it's not you, it's me.",no
313,"It's okay, Charlie. I can see her. See who? .",no
314,"It's okay. Mo, Mo, look at me. Look at me.",no
315,It's over. Let her go. Aah!,no
316,"It's ruining her life. So a girl breaks up with you. So you can't take it, so you shame her online?",no
317,It's yucky! There's nothing to hang. 1: You get rid of the dog.,no
318,"Ivan, you live yet? Avni, I asked you to destroy the traitor's head. Do I need to do your work?",no
319,James... could you be more tender with her? Make sure she understands you really love her. You want me to convince her that I really love her.,no
320,"Jessie, over here! Oh, it's been a while. I don't think she's coming back.",no
321,"Jesus Christ, keep your fuckin' hands to yourself. Go. Just go. The doors behind you, go.",no
322,"Just consider me one of the world's most active coin collectors. Come on. No, I'm serious.",no
323,Just don't get all panicky. We'll find her. It's been 24 hours.,no
324,"Just drive her out slowly. Slower than that, okay? Take your time.",no
325,"Just feel the wood. Calvin... RUBY : Skinnamarinky dinky dink Dinky do I love you Skinnamarinky dinky dink Dinky do I love you I love you in the morning And in the afternoon Honey, I'm trying to read.",no
326,"Just leave him alone. She's not here, it's all clear. We never saw her come out.",no
327,"Just say Wyatt's sick or something. No, don't listen to her, em, and you should go too, babe. Honey, I think this is great.",no
328,"Just, I'm curious. Okay. You know Abby, my sister, she, said that it's amazing.",no
329,Karen. Hey. Hi.,no
330,"Keep it going, keep it going, keep it going! Got a good team here, coach. Got a good team.",no
331,Keys. Get up. Open this door.,no
332,"Leave. I want her back, alive and unharmed. Teela,",no
