datapoint,label
"Mark, you're a real piece of shit. Yeah. And no matter how many women you sleep with, or cars you buy nothing will be enough to fill the hole inside you where something real should be.",no
"Oh, my! As punishment... she transformed him into a hideous beast. And placed a powerful spell on the castle... and all who lived there.",no
"And she's the one that suffers. Now you're gonna want to remember this part, you may walk away from here today, but run as far as you can and the memories of what happened to her under your watch will forever be two steps behind you. And I shit you not.",no
"I'm sorry, Mr. Church. She'll get used to it. She's just a child.",no
"Bottom line, all right. I don't think this girl... I know she would not cheat on me right in front of my face...",no
What kind of name is that? What? That's what I call her.,no
"It's a dog. If we could get up there, the doors probably wouldn't open with the power out. Benji?",no
Seriously? She usually calls if she's going to cancel but I haven't heard anything. I'm sure she'll call.,no
"And she was like, "" That man asleep. He asleep. "" And we'd be like, Well, somebody need to go shut that eye.",no
"It's a pleasure to finally meet you, sir. Cole, not cool. Sorry about that.",no
Get to the point. That. That there.,no
"Ford, you're being awful quiet over there. Do we have enough to hold him any longer? No, sir.",no
"Pa... you remember how I told you Ma died? Yeah. Well, the son of a bitch who shot her... had a tattoo on his hand... just like Cicero here.",no
That was on me. That was an accident. You fucking pervert!,no
"We're gonna take her to a residential facility. Ava, thank you for coming so quickly. She's been asking for you desperately.",no
I can't... I can't film this. He just shot her. You've got to believe in something.,no
She called the landline three times. Oh. You have to talk to her.,no
"You can see how disappointed she is, and if you multiply that by 10, and bury it inside of yourself, that is how I feel about what you've done. Disappointment and anger. It's Disa, it's primarily, disappointment is the frosting on the cake of the anger I have in my heart for you right now.",no
"Did you see the kids? Yeah, I just saw her. Yeah, I saw him too.",no
"Oh, no. No! No, no, no, no... I've been a bad boy!",no
So you just a mama tryin' to get to her cubs? I'm Frederick. Freddie. Rebecca.,no
CLEANER AND AIR PURIFIER THAT I HAVE. SHE'SMYAUNTCINDY. HAVE.,no
"Oh yeah. Oh yeah, spank the monkey, smart boy. Damn.",no
I'm so sorry. Maybe we should go. Think she's still asleep?,no
"That's actually not bad, that's like legitimately good. Yeah, yeah come on dude, so come on say it. Say what you just said.",no
"Look man, I am dying because of your photo op and now I'm dying because of this fucking psycho. And what kind of masseuse is this, like a masseuse-masseuse or an escort? Julia got her from the speaker of the assembly!",no
"Good luck! Sorry, guys, can I ask her a few questions? You be all right?",no
"I think she really likes you, honey. I really do. Oh.",no
"Correct. There is only one ancient collection of writings that has more authenticated copies than the "" Iliad. "" Can you guess what that is? You're gonna tell me the Bible.",no
What gun? I'm sorry. Can we stop?,no
"Garden! Garden, vagina, garden, okay? And if you think a woman doesn't have a libido then you, my friend, are the fucking dumbass.",no
"She looked like... Tyler Perry. Boy, I tell you what, Son, she's way prettier... than that last girl you was with. Good night.",no
I didn't even tell my wife about what happened that night. My daughter Zhanna... I found this journal when I was cleaning out her apartment.,no
She confessed her sins. The next day she moved into our church. Would you like to know how she died?,no
"These are the great big events... the things you think you'll always remember, and you do... but there are other smaller.. Picking a blackberry that's been in the sun or... brushing the fingertip of someone you didn't know you loved... until you touched them. Nellie was this little collie... who wouldn't go on a leash so she had to sit on a bicycle seat.",no
"What did you do to her? I didn't say you could talk. Now, a little birdie told me you think you're a witch slayer.",no
"I'm proud of this man. Thanks, thanks. Hey, congratulations.",no
"Why? That's, like, the one place on Earth I don't want to go. Like, real -Are you kidding?",no
"Don't leave me! Paul! Just leave her alone, goddamnit!",no
"I'm not asking him how many STDs he just passed on to Andie and her unborn child. Our unborn child, that's what I meant. What are you doing in there?",no
I need you to take over for Becky up front. I have to bring her in back for some questions. The police?,no
"See, you've done made her sick! You know Chazz got that goddamn asthma. I didn't make her sick!",no
Everybody needs Some place to escape to. Exactly.,no
"Got some ice. Thank you so much. You know, I'm not...",no
"Zotov told me all about you. You're a cowboy and you want Gazakov. Yeah, I do.",yes
"Isabella says the people who say things about her only do so because they're jealous. I'm not jealous of Isabella. Isabella says that denying jealousy is, like, the surest sign of jealousy.",no
"Or he doesn't like your levels. But when he calls you Tom, it's always good news. I mean, the time he liked your white cell count.",no
She's one of mine. So she's nuts? Apparently the two of them used to be an item if that tells you anything.,no
"You know Rita Richards? Yes, are you gonna tell me that she had an affair with him? Because who on the faculty has not slept with Rita Richards?",yes
"Terri, a story is like a beautiful woman. For me, writing is like making love. Wonderful.",yes
"I think she took the scissors from the desk in my room, went to 's house, and... Well, then why weren't her fingerprints on the scissors? Because she's trying to frame me.",no
"What dude that's really, wait a minute. You don't like her do ya? I just think there's other girls out there.",yes
"What if he's the killer? Well, then we'll find out it's him when she shows up dead. Relax, Nathan.",no
"It's never gonna end, I mean, even if they live me alone, they're just gonna do it to somebody else. We can't stop the game if we wanted to. There's no one to stop.",no
"Oh, thank you.? And you're the reason why Stars are falling And so am I...? Oh!",no
Fixer's I've been watching her for a long time now. We're like two trains on the same track headed for a collision course. I've been reluctant to deal with it.,no
"I know everybody. Well, hello. Step right up.",no
"No, you're not happy about that. Then not too long after that, you're sitting on your kitchen floor buck naked, you got a gun in your mouth and all you're thinking about is, is today the day? Is today the day I pull the trigger?",no
"Yo, that sucks, bro. I'm sorry. Let me take you to Papagalo's, buy you a drink.",no
"Ooh. But I felt the baddest for Yolanda Reyes, John's girl. Now, she knew he was a playboy, but she said he always came home at night, so...",no
Yes! You or you! He loved her more than you can protect us.,no
Are you sure this is what you want? There's nothing here for her anymore. I don't want to lose you again.,no
"You don't got any friends. Detective Torres, meet Jimmy Conlon. Jimmy and I spent a lot of quality time together back when he was killing people for Shawn Maguire.",no
She's pretty. She smells good. Maybe you'll try to stick your hand up her shirt.,yes
"BLONDE Oh, Reverend. I can't exactly go around knocking on people's doors flashing my badge and asking them for their homes. Yeah of course not, such a gross display of power would be in bad taste, that's where asset forfeiture laws come in handy and let's say for example, there's a minimum wage earning, single mother, on food stamps, who's struggling to meet her payments for her adjustable rate loan, she's caught selling a controlled substance to make end's meat.",no
"Where? Little surprise for you guys. Look, honey, it's the bird sanctuary!",no
"I'm a badass. I used to light cigarettes like this for Emily. One for me, one for her.",no
"Girl, can you believe she did that? She didn't even know him. I know.",no
"You're gonna have her rot in there? But I don't suppose I'll ever know No. How to keep you Good-bye, Sugar Good-bye, Sugar It's Mom!",no
You're serious? Very serious. Thank you.,no
Panama is too. She didn't eat her 2 p.m. bucket or her 5. You tell Clay?,no
"You wanna talk to me, don't you? Judy, don't go. I don't wanna go.",no
Don't forget to tip the help. My husband sent me to see how you're coming along with the boat. Show me what you've done inside.,no
"Well, you love her, don't you? More than anything. Well, then, you do whatever it takes to make her happy again.",no
"And if she's still there in the morning, then maybe we can think about... Doing something about it, but right now... I'm happy to let it drop.",no
There's something you don't see every day. Here it comes! I lost the rocket launcher.,no
"Have you talked, spoken to her mother or father? No, the mother, I know has been in contact with Ron Oh, this is bad, this is so bad. Brian's in a tough spot.",no
"What she actually said was, "" Oh, God, Trevor, don't stop. "" Your dick is so fat and greasy and amazing. "" "" Greasy and amazing, "" and then he went on to say, "" Trevor, you have such a hot, throbbing cock "" "" and I want to get all juicy on your cock. "" Okay. So when is the part where the two of you meet?",no
"Pressure changes things. Makes a man write a six instead of a nine. Not Beeker, the man's ice.",no
"Can't we just let it go? What do you want me to do, Gitty? The coyotes come down here and eat her alive.",no
"Why is she here? She's so nice and was really, really helpful, Jan. Hi, girls!",no
"I wonder if she actually even wanted to. Are you sure she had miscarriages? Because you know there are ways to fake that, right?",no
You treated her? Yes. Did you agree to this?,no
"No, really, we're arranging four new songs, and they all need rehearsal... Eventually, I threw her an off-speed pitch. I said..",no
"Well, it's the road you chose, dude, so please pull over so your friend can pee. Okay, Rhonda's getting a golden shower. The fuck she is!",no
Because he just sits there on a list. So? Then look at his feed.,no
So she quit. Ever since didn't get to flip. I've got Rebecca Moore.,no
A little more. A little more. You've been much more focused at work.,no
I like my coffee like I like my women. Don't you dare say it! In my office now!,yes
"I tell you what, she better not bring her ass down here because I will punch that bitch right in her face. See who's smiling then. Oh, shit, here she comes.",yes
"First you must bring her to a place we like to call the sacrificial clearing. I love it. It's a clearing to the north of a domain, designed for executions.",no
We have to stick to the plan. I made her a promise. I can't let her die alone.,no
Who? Porter. He's about to call her right now.,no
"Oh, I don't know if I'm ready for that. Oh, if you're not, Little Miss Buxom over there most certainly is. I have another engagement later this evening.",yes
"See you there, dude. Ow. Yep.",no
"It's okay. Mo, Mo, look at me. Look at me.",no
"Not to hear it. Wait, she's waving! I know.",no
You're wasting your time. Plus she's way too religious. She can't be that religious if she's with Tyler.,no
Sounds like fun. Could be dangerous. Maybe I'll die.,no
"I was wrong. Now, about the other day in the park. The things that I said about you...",no
"Leave. I want her back, alive and unharmed. Teela,",no
"Yes, and she should keep it quite up. What is it? I'm not sure.",no
"Come down to say hello, old man? No. I came to say goodbye. Batman.",no
"Stanley, do you get a sense that Kantmiss is aware of the frenzy she's creating? I don't think so, Bob. She's electrifying.",no
H' I know more than she can possibly imagine. I know where she's been going for the last few months. Let's see if she comes clean.,no
"She is. I mean, she went right to class when the bell rang. Different.",no
"Don't you see what you've done to me? I have no pride. Do you know what it's like to walk into a grocery store and see the women shopping and not know if they're judging me or not, not know if they've heard the rumors, thinking the whole time that one of them might be her?",no
Okay. You should know something. We had eight extra minutes of civilian evacuation because of Peeta's warning.,no
Can I see you tomorrow? Bye. Bye. Mom? Where's dad?,no
"It's different than what we're used to. Skin cell variations, changes in the ozone. It's almost like...",no
"Welcome to paradise. See, the moon is almost full up there. Well, thank you so much for having us, this is great.",no
"Oh, Frank, we're talking In here. You ought to join us. Well, I know her name now.",no
"I forgot Uncle Ramon was deaf and I talked to him like a normal. Uncle Ruben, can you please tell Meredith that Jason is really sorry, but that he can't marry her? He says he's very sorry, but he can't marry you.",no
"Go, go, go. Let's go. I need everyone at their one's!",no
"You know, the dog got under the fence and into the neighbor's yard today. Great. When are you coming home?",no
"Just feel the wood. Calvin... RUBY : Skinnamarinky dinky dink Dinky do I love you Skinnamarinky dinky dink Dinky do I love you I love you in the morning And in the afternoon Honey, I'm trying to read.",no
"I will do what I can'to help you. We will figure it out. And for Emma's sake, we don't have to tell her.",no
"I don't know, man, she looks like a slut. Exactly. Fucking go over there and make some like witty joke or something.",yes
Hello? Let me out please! Open the door Open the door.,no
"Don't look back. Come on. Go, little rabbits!",no
I was discussing business with Eddie. Good. I heard she had sex with one girl in it?,yes
Aren't you the one who talked to her every day? That's Sunday's mom. Wow... she's so good at being sad.,no
"This should have been here two days ago. Ah, you know how to do it. Mr. hill, check food supply, make sure light bulbs work.",no
"Jesus Christ, keep your fuckin' hands to yourself. Go. Just go. The doors behind you, go.",no
"Whoa. Where did you get this idea? We had a big fight and she was, "" I don't feel like you even appreciate me.",no
"That was a dick move on her part, I'm sorry... I feel bad, man. But that's what she does.",no
"First of all, I dismembered the corpse. I cut off the head and the arms and the legs. I then took up three planks from the flooring of the chamber and deposited all between the scanflings.",no
"Repeat, I'm pinned down. Bradley was covering our flank and maneuver when... he got separated. Man on Air support, sector 305.",no
Did he? I mean he blew a friend's husband. Spit in her face by doing it.,no
"It's her new car, our new boss. Looks brand-new. Did you see her?",no
"Hey, do me a favor. What? Run in there and get me a paper.",no
These are our team reps. This is Wyndham. This is Phil. Mr. Anthony Molina.,no
When her boyfriend found out that she was dying... he left. She didn't have anybody. You've got a stupid big heart.,no
"Do you need to trade spots with your mom? Well, she looks like she's really enjoying this view. Maybe we better give her a moment.",no
"Ammunition, Water, Food... And, of course, girls. Do you like her.",no
"He has a mask? Yeah. It's here, Se? or.",no
"Let two more summers wither in their pride, ere we may think her ripe to be a bride. Younger than she are happy mothers made. And too soon marr'd are those so early married.",yes
"They're so shiny. Hey, guess what today is. Uh, uh...",no
I thought she'd never leave. Were you guys in there all night? Yeah.,no
"Hey, look, this is Gambler 17. We are flying over hundreds of boys in the water. I repeat, we are flying over hundreds of boys in the water.",no
"With temperatures above normal so far the late fall is just a bit. And I know there are other folks looking down the road for a white Christmas. Maybe not this time, the almanac says.",no
"You know what? Ladies and gentlemen. I'd like to take a moment and congratulate Sarah the psycho, and her bitter entourage.",no
"I'll never see her again. Hey, that's crazy talk. It matters to me.",no
"Who hurt you? I've just had enough, that's all. How long have you been living in your car?",no
"Loving someone's The hardest work There is. Oh, i messed up plenty, So did she.",no
Tell your mom not to be such a fuddy duddy. Don't be such a fuddy duddy. Is she shaking her head?,no
"Not news. Besides, I'm not telling you that I don't like her. I hardly know her.",no
"The least you can do is let him talk to her on the phone. That's not right, Gina. You know, you're not as smart as everyone says you are.",no
"I'm going to see her today. I just can't. Are you okay, honey?",no
"Well, you're the one who said we didn't have time to stop for gas! Grab her arm. What are you doing?",no
"It's a shitty fucking job. Yeah, I know, but you're going away to college, and maybe they need somebody. Oh, I thought you said you were gonna go back to school and finish.",no
"Right now. This bitch, Mildy Torres from Social Services shows up at my front door, finagles her way in and tells me I'm under investigation, that I might lose Dennis. Why are you under investigation?",yes
"Why don't you just drive? I should sit in the back seat. I don't know why I'm, you know...",no
"Okay, hold on. Mateo? Is that true?",no
Your they have run over... You have brought them to you and the only thing she wanted was to fuck you immediately. Yes.,no
Wait! Wait. Wait. Little girl.,no
Hello. Hey. I thought you weren't picking her up until later this evening.,no
Mm-hmm. Mm... Mm! Hey!,no
"You're too young. Come on, you got ta get out. Are you serious, dude?",no
I need that ice now. Do you mind my asking what you need the ice for? Be... because I have to keep my sperm cold.,no
"Thanks, I owe ya. * Todd, can I have a word? No. Jennie Stanton's the best at what she does.",no
He was full that night. So nobody knows what the hell happened. Did she in the bath?,no
"It's like a throbbing inbred hothouse of cultural miasma. Frankly, I'm surprised they don't have more fetishes. Shit, Ben-Ben.",no
"Oh, goody. Grodlin, what are we waiting for? Round up the Trogs and let's go get her.",no
"Ellen. I've been trying to reach you all morning. Oh my gosh Fin, are you Ok?",no
"But my cases don't always start with trouble finding me. Sometimes I find it. Mom, I'm home.",no
"The English, Your Majesty. These are the letters of the Pope? He is furious with the marauding fury of the English?",no
"No, no, no, no, no! -... and there. Here... And fill it up for my soon-to-be-married friend, Sasha!",no
"Don't hang up on. Andrew, your check didn't clear. You say you want to talk to Zoe, but she doesn't need that.",no
"Devil's Carnival? You're in the Devil's Carnival? Come one, come two, come all?",no
"Half that studio would be yours. Jesus, Dad, I'm not gonna marry Amanda just to live off of her. Just giving you the benefit of my wisdom.",no
"Grow some courage. Always hiding behind your mask. Tough horny guy "" curry stick "" with a long schlong.",no
I have a huge test tomorrow. I'm not lying! Where are you going?,no
"I love you. I love you. Tory cecelia whitney, what are you up to?",no
"I don't have a cat. Then whose kitty litter did I just shit in? Anyhoo, tell me something... what situation isn't improved by pizza?",no
"Commander voss, offline. Lieutenant ryll, please respond. Repeat.",no
"Now... when a woman has to go to the bathroom in the middle of the night, she doesn't give a shit if you haven't slept in four years. If she gets woken up out of her sleep, it's everybody's problem. They don't wake up and think, "" I have to pee. "" They wake up and go, "" Oh, my God!",yes
Is that you? It is you! Hi. Hi!,no
"But what can't be controlled is love. Who I fall in love with, who falls in love with me... Or if anyone falls in love with me.",no
"I'm right here. Dude, it's her. Dude.",no
"Who's watching these two kids. The babysitter's typical girl next door, just there, Going to do her homework, talk on the phone with her friends And starts getting this creepy phone calls.",no
"I let her down. I think justice has a way of finding people. Yeah, well, I've given up on justice.",no
Sorry. Just a little work around the house. Salt of the earth.,no
"Max! Max, where are you, man? Max?",no
Get up. Took my gun. And she took my razor.,no
Why? I just... I was trying to help you out. Roll it down.,no
Chloe! No! Make sure she does exactly what Chloe says!,no
"That when a woman is naked, you're like, "" Look at that beautiful woman, "" and when a man is naked, you're like, "" There was a crime. Something horrible happened over there, guys. "" It's an interesting time.",yes
"We can watch her from here. Yeah, as long as she stays outside. Do you want me to take over?",no
"Like this. "" They put her on trial and hanged her! "" "" But the vengeful witch cursed her accusers, seven of them in all, to die a horrible and gruesome death, and rise from their graves as the living dead! "" "" Their souls! "" "" Their souls, doomed to an eternity of damnation! "" Now, I want you to try that again, but with conviction. My reputation is at stake, here.",no
"Where are you? Relax, relax! Wait, hold on.",no
"Wow. Treat her right, or you'll be hearing from me. Be good for Katie.",no
Yea but that doesn't get rid of the baby. Well it will until you start to show. Plus-minus.,no
"You must still like her if you're carrying around her picture, wearing the ring. Yeah. Well, you know...",no
"Well, not off the top of my head. Well, has she, as far as you're aware, ever started her class with a prayer? MRS.",no
"I killed that last man she was with, Tom. He had it comin', too. You have been doggin' this girl your whole life.",yes
"First edition, signed. That wine stain? Left by Betty Friedan herself.",no
She looks normal. So what happened with not-so-funny guy? It didn't work out.,no
"Actually, he jumped at it. Says he can't wait for me to be someone else's problem. So do you think a big-city reporter and an ex-military grunt could...",no
Really? I could kiss you. Robin's last class is about to end.,no
"Finding Theresa if that is his name. The woman who abducted you think. I find it, and disappears.",no
"She can't be more than 19. She hasn't had time to get herself a past. Child, it's the age of Facebook.",no
"I'm not usually into political thrillers. Yeah, well' I think the parallels with Dante's Inferno are amazing, but...",no
"Grampa! What's up, buddy? Here.",no
Yeah? It's Ross. Bruce's state room is burning.,no
"Come here. Let's go upstairs. I mean, I know she's Lily's mother and of course I respect that.",no
"Lots of blood, but no bodies. No tracks? No. Just like Tompkins' place.",no
"It's not your fault. I should've seen it coming. Let me ask you this, when a woman says, "" it's not you, it's me.",no
"Nothing. How many times have we been through this'? We've been through this, Mom.",no
"I told her to practice when I'm there, and that you'd be surprised at what a good swimmer she's become. I can't believe she did that. It's Avery good thing Eric and I were there to hear her crying for help.",no
"No. She's, uh, she's not jewish, grandpa. At your age, I suppose it doesn't make that much difference, tateleh.",no
"Oh, alright! An answer! Emphatic at that!",no
"Would you join me for lunch? Uh, yeah. You have to forget about her.",no
"There's no sign of her since she left for work this morning. Thanks. Oh, okay.",no
"I hate you. That girl says she hate him. Oh, Lord, somebody gonna have to help me.",no
You can fold it or rip off Ellen's part if you don't wanna look at her. I just thought maybe you could... Remember me sometimes when you get wherever you're going.,no
Keys. Get up. Open this door.,no
What happened? She made bring you back. It may have been too much for her.,no
"George. Please. She loves you, loves you.",no
I'm free. Thank you. Thank you.,no
My guy looks like james cromwell. Here. You want to see her?,no
Advance and engage! Can you drive that truck? Yeah!,no
